Name,Address_full,Phone_number,Website,Rating,Region,Category
Code-Cuisine Le Traiteur Grand-Est,"58 Rue du Bearn, 54400 Cosnes-et-Romain, France",+33 3 57 10 01 14,http://www.code-cuisine.com/,4.9,Grand Est,
Traiteur LH Créations - Sainte-Marie-aux-Chênes,,+33 6 14 36 75 82,http://www.lhcreations.fr/,4.9,Grand Est,
Sissi traiteur gourmandise,,+33 6 32 50 71 70,https://www.facebook.com/profile.php?id=100076315147170,5.0,Grand Est,
Un Chef à la maison ! David Ciré TRAITEUR,"3 Impasse De Hayes, 57640 Vry, France",+33 6 10 11 75 51,http://www.unchefalamaison.fr/,4.9,Grand Est,
Espace Traiteur,"8 Rue Émile Gallé, 54940 Belleville, France",+33 6 13 66 88 56,https://espace-traiteur.eatbu.com/?lang=fr,4.9,Grand Est,
le Traiteur Pierre Mayer et Nisse,"3 Pl. du Marché au Blé, 57220 Boulay-Moselle, France",+33 7 82 15 33 00,https://www.traiteurpierremayer.fr/,4.9,Grand Est,
Greg Le Traiteur Des Copains,,+33 6 10 48 28 26,https://sites.google.com/view/letraiteurdescopains/accueil?authuser=0,5.0,Grand Est,
Le Moulin Gourmand,,+33 7 89 84 26 32,https://lemoulingourmandblog.wordpress.com/,4.9,Grand Est,
Péché Mignon par Laurent HEIM,,+33 6 61 98 08 27,http://www.pechemignon.org/,5.0,Grand Est,
K-la broche (cochon à la broche),,+33 6 21 72 41 58,,5.0,Grand Est,
Le Relais Gourmand,"13 Rue de la Moselotte, 54520 Laxou, France",+33 3 83 21 79 53,https://www.lerelaisgourmand.fr/,4.8,Grand Est,
Sur-Mesure By Vincent Vervisch | Chef À Domicile & Traiteur Gastronomique | Evènements & Mariages | Strasbourg - Alsace,"3 Rte de Neuhof, 67400 Illkirch-Graffenstaden, France",+33 6 31 35 47 18,http://www.surmesurechef.com/,5.0,Grand Est,
MikaZ,"3 Rue des Vosges, 57400 Buhl-Lorraine, France",+33 6 77 17 31 37,,4.8,Grand Est,
Les Gentlemen's évents Traiteur,"15 Rue du Stade, 88560 Saint-Maurice-sur-Moselle, France",+33 7 66 68 36 97,http://les-gentlemens-restaurant88.eatbu.com/,4.4,Grand Est,
Arpèges et Saveurs Gourmandes du Grand-Est,"Imp. de l'Estournel, 54170 Allain, France",+33 6 12 91 53 21,https://arpegesetsaveursgourmandes.eatbu.com/?lang=frhttps://arpegesetsaveursgourmandes.eatbu.com/?lang=fr,3.8,Grand Est,
Vernois Traiteur,"32 Rue nationale, 57420 Verny, France",+33 3 87 52 41 42,http://www.vernois-traiteur.com/,4.7,Grand Est,
Traiteur Da Vinci - Al Bosco,"1 All. de la Cité des Chalets, 57600 Forbach, France",+33 6 17 75 04 42,,4.9,Grand Est,
"Croustillance, traiteur & créateur de saveurs","10 Rue de l'Estrey, 88440 Nomexy, France",+33 6 84 26 45 63,https://www.croustillance.fr/,4.8,Grand Est,
