name,address_full,phone_number,rating,clean_address,latitude,longitude
Bressane + Perona Photographes,"7 Rue Chernoviz, 75016 Paris, France",+33 7 85 18 45 65,5,"7 Rue Chernoviz, 75016 Paris, France",48.8572498,2.2817956
BENA PRODUCTION - Agence Photo & Vidéo,"BENA PRODUCTION - Agence Photo & Vidéo, 3 Rue des Chaufourniers, 75019 Paris, France",+33 6 98 27 80 99,"4,9"," 3 Rue des Chaufourniers, 75019 Paris, France",48.8789915,2.3718619
Basile Crespin Photography,"Basile Crespin Photography, 5 Rue du Général Renault, 75011 Paris, France",+33 6 66 57 14 05,5," 5 Rue du Général Renault, 75011 Paris, France",48.8615066,2.3782245
PH EVENTS Photographe de Mariage Fontainebleau 77,"PH EVENTS Photographe de Mariage Fontainebleau 77, 14 Av. du Général de Gaulle, 77210 Avon, France",+33 7 77 28 19 81,"4,9"," 14 Av. du Général de Gaulle, 77210 Avon, France",48.41848045,2.7314917662120903
L'oeil de votre événement,"L'oeil de votre événement, 35 Rue Joseph Bertrand, 78220 Viroflay, France",+33 6 87 09 41 34,5," 35 Rue Joseph Bertrand, 78220 Viroflay, France",48.8085289,2.1705614
Jeremy Froeliger,"Jeremy Froeliger, 146 Rue Cardinet, 75017 Paris, France",+33 6 38 55 38 08,"4,9"," 146 Rue Cardinet, 75017 Paris, France",48.8886439,2.3158372
Mariem de SaintK,"Mariem de SaintK, 109 Rue Manin, 75019 Paris, France",+33 6 81 88 08 72,5," 109 Rue Manin, 75019 Paris, France",48.8833785,2.3883848
"Marie V Photographie - Grossesse, famille, mariage - Essonne (91) et Ile-de-France (IDF) 🙂","Marie V Photographie - Grossesse, famille, mariage - Essonne (91) et Ile-de-France (IDF) 🙂, 5 All. de la Buchette, 91560 Crosne, France",+33 7 68 92 32 96,"4,9"," 5 All. de la Buchette, 91560 Crosne, France",48.722811708332635,2.4619304014280834
Vibrant Feelings,"Vibrant Feelings, 19 Rue Lahire, 75013 Paris, France",+33 6 59 70 81 11,"4,8"," 19 Rue Lahire, 75013 Paris, France",48.8294402,2.3658664
Angela di Paolo Photography,"Angela di Paolo Photography, 59 Rue de Bretagne, 75003 Paris, France",+33 6 58 50 96 13,"4,9"," 59 Rue de Bretagne, 75003 Paris, France",48.8639924,2.3604841
Fanny Ritz Photographe,"Fanny Ritz Photographe, 9 Rue de l'Indre, 75020 Paris, France",+33 6 63 09 27 55,5," 9 Rue de l'Indre, 75020 Paris, France",48.8632692,2.4039266
Axiane Photographe,"Axiane Photographe, N20, 91300 Massy, France",+33 6 49 80 59 62,5," N20, 91300 Massy, France",48.730158,2.2766735
Didier Laurent Photographe,"Didier Laurent Photographe, Rue des Hêtres, 93160 Noisy-le-Grand, France",+33 6 51 87 70 38,"4,9"," Rue des Hêtres, 93160 Noisy-le-Grand, France",48.82978565963076,2.5600605303338813
Raffi Mardirossian,"Raffi Mardirossian, 3 Rue des Chantiers, 75005 Paris, France",+33 6 12 86 82 96,5," 3 Rue des Chantiers, 75005 Paris, France",48.8489032,2.3548709
Noitome Photo,"Noitome Photo, 4 Rue de la Division Leclerc, 78440 Gargenville, France",+33 7 56 95 11 11,5," 4 Rue de la Division Leclerc, 78440 Gargenville, France",48.991466,1.810502
Alex Rocca Photographe,"Alex Rocca Photographe, 80 Rue d'Elbeuf, 76100 Rouen, France",+33 7 83 01 12 54,5," 80 Rue d'Elbeuf, 76100 Rouen, France",49.4294114,1.085255
Cedric Derbaise Photographe,"Cedric Derbaise Photographe, 374 Rue de Pierrepont, 60430 Ponchon, France",+33 6 07 78 99 94,5," 374 Rue de Pierrepont, 60430 Ponchon, France",49.3618091,2.1762039
André Devienne Photographe de Mariage,"André Devienne Photographe de Mariage, 6 Rue Claude Monet, 95440 Écouen, France",+33 6 25 95 79 60,"4,9"," 6 Rue Claude Monet, 95440 Écouen, France",49.02761252255834,2.3751034824143744
Lina Raziq,"Lina Raziq, 5 Rue Charles Dickens, 75016 Paris, France",+33 6 17 40 43 81,"4,8"," 5 Rue Charles Dickens, 75016 Paris, France",48.8569598,2.2846074
Photographe Mariage Paris - Georges Vuong Photographe,"Photographe Mariage Paris - Georges Vuong Photographe, 158 Rue St Charles, 75015 Paris, France",+33 6 76 97 69 59,5," 158 Rue St Charles, 75015 Paris, France",48.8421661,2.2812908
"Marina Kyroglou Photographe - Mariage, Grossesse, Famille - Fontainebleau","Marina Kyroglou Photographe - Mariage, Grossesse, Famille - Fontainebleau, 3 Rue de Larchant, 77760 Villiers-sous-Grez, France",+33 6 71 90 99 35,5," 3 Rue de Larchant, 77760 Villiers-sous-Grez, France",48.317158,2.647346
Evanie photographe IDF mariage famille,"Evanie photographe IDF mariage famille, 35 Rue Jean XXIII, 91800 Brunoy, France",+33 7 72 31 49 60,5," 35 Rue Jean XXIII, 91800 Brunoy, France",48.70548690981476,2.500977744886462
Mon Photographe Mariage,"Mon Photographe Mariage, 4 Rue de la Garenne, 91230 Montgeron, France",+33 6 99 13 07 08,"4,8"," 4 Rue de la Garenne, 91230 Montgeron, France",48.69754277545498,2.4475197437036043
Podgorski Victor,"Podgorski Victor, 37 Rte des Andelys, 27510 Pressagny-l'Orgueilleux, France",+33 6 84 10 94 88,"4,9"," 37 Rte des Andelys, 27510 Pressagny-l'Orgueilleux, France",49.131176,1.446928
Naïs & Isaac,"Naïs & Isaac, 18 Rue Jean Jaurès, 91700 Villiers-sur-Orge, France",+33 6 61 60 41 01,5," 18 Rue Jean Jaurès, 91700 Villiers-sur-Orge, France",48.65639747032271,2.299501547772718
Arnaud Delaunay photographe,"Arnaud Delaunay photographe, 4 Rue des Vaux de Lèves, 28300 Lèves, France",+33 6 60 23 31 20,5," 4 Rue des Vaux de Lèves, 28300 Lèves, France",48.470946746966646,1.4780386929124625
Objectif-mariage,"Objectif-mariage, 33 Rue Philippe de Girard, 75010 Paris, France",+33 6 49 73 21 32,5," 33 Rue Philippe de Girard, 75010 Paris, France",48.8839556,2.3614754
Maxime Desessard,"Maxime Desessard, 12 Rue de la Verrerie, 75004 Paris, France",+33 6 09 07 83 56,5," 12 Rue de la Verrerie, 75004 Paris, France",48.8572463,2.3550135
Wander Moons Photographe professionnel,"Wander Moons Photographe professionnel, 52 Bis Rue Jean Jaurès, 91300 Massy, France",+33 6 95 73 94 16,5," 52 Bis Rue Jean Jaurès, 91300 Massy, France",48.7278341,2.2508757
Alexandre Proix - Photographe de mariage,"Alexandre Proix - Photographe de mariage, 32 Rue Baron, 75017 Paris, France",+33 6 07 19 37 24,5," 32 Rue Baron, 75017 Paris, France",48.8954667,2.3235058
Nicolas Baudry Photographe,"Nicolas Baudry Photographe, 56 Bd de Clichy, 75018 Paris, France",+33 6 50 61 65 82,"4,9"," 56 Bd de Clichy, 75018 Paris, France",48.8832992,2.3349647
Lora Barra,"Lora Barra, 106 Rue du Château, 92100 Boulogne-Billancourt, France",+33 6 10 81 40 34,5," 106 Rue du Château, 92100 Boulogne-Billancourt, France",48.844422895624504,2.2510070193107117
Laetitia Rivière Photography,"Laetitia Rivière Photography, Bd Aristide Briand 113, 91600 Savigny-sur-Orge, France",+33 6 13 26 13 01,5," Bd Aristide Briand 113, 91600 Savigny-sur-Orge, France",48.686637,2.3510563
JJGueudry-photographe Photographe de Mariage 77 Dammartin,"JJGueudry-photographe Photographe de Mariage 77 Dammartin, 4 Rue de Bourbon Condé, 77230 Dammartin-en-Goële, France",+33 6 69 15 00 35,5," 4 Rue de Bourbon Condé, 77230 Dammartin-en-Goële, France",49.0599878,2.6811432
VinceWLKR Photographe - (Vincent WALKER),"VinceWLKR Photographe - (Vincent WALKER), Rue de Seine, 77240 Seine-Port, France",+33 6 89 21 08 68,5," Rue de Seine, 77240 Seine-Port, France",48.55907898653785,2.5447319010299587
Joanna Bhm,"Joanna Bhm, 9 Rue Amédée Bollée, 92500 Rueil-Malmaison, France",+33 6 24 32 51 34,5," 9 Rue Amédée Bollée, 92500 Rueil-Malmaison, France",48.8883956,2.170811
Séverine Alves Photographe Mode/Evènements/Mariage,"Séverine Alves Photographe Mode/Evènements/Mariage, 5 Bd du Bel air, 93460 Gournay-sur-Marne, France",+33 6 78 06 67 94,5," 5 Bd du Bel air, 93460 Gournay-sur-Marne, France",48.854674,2.5762499
Pierre Torset Photography,"Pierre Torset Photography, 66 Rue Orfila, 75020 Paris, France",+33 6 28 23 79 53,5," 66 Rue Orfila, 75020 Paris, France",48.8669263,2.3978819
My Shooting Photo - Photographe,"My Shooting Photo - Photographe, 30-36 Rue du Sergent Bauchat, 75012 Paris, France",+33 6 67 40 42 35,"4,9"," 30-36 Rue du Sergent Bauchat, 75012 Paris, France",48.84522095910026,2.392384918852587
Marie Laure Duarte,"Marie Laure Duarte, 97 Rue de France, 77300 Fontainebleau, France",+33 6 50 92 14 77,5," 97 Rue de France, 77300 Fontainebleau, France",48.40632295,2.692727790392076
