name,address_full,phone_number,rating,clean_address,latitude,longitude
Code-Cuisine Le Traiteur Grand-Est,"58 Rue du Bearn, 54400 Cosnes-et-Romain, France",+33 3 57 10 01 14,4.9,"58 Rue du Bearn, 54400 Cosnes-et-Romain, France",49.519116059498444,5.710215397139216
Un Chef à la maison ! David Ciré TRAITEUR,"3 Impasse De Hayes, 57640 Vry, France",+33 6 10 11 75 51,4.9,"3 Impasse De Hayes, 57640 Vry, France",49.18581333573953,6.33261172552941
Espace Traiteur,"8 Rue Émile Gallé, 54940 Belleville, France",+33 6 13 66 88 56,4.9,"8 Rue Émile Gallé, 54940 Belleville, France",48.8172318,6.1057296
le Traiteur Pierre Mayer et Nisse,"3 Pl. du Marché au Blé, 57220 Boulay-Moselle, France",+33 7 82 15 33 00,4.9,"3 Pl. du Marché au Blé, 57220 Boulay-Moselle, France",49.183586500551286,6.495636812472658
Le Relais Gourmand,"13 Rue de la Moselotte, 54520 Laxou, France",+33 3 83 21 79 53,4.8,"13 Rue de la Moselotte, 54520 Laxou, France",48.6980465,6.1249103
MikaZ,"3 Rue des Vosges, 57400 Buhl-Lorraine, France",+33 6 77 17 31 37,4.8,"3 Rue des Vosges, 57400 Buhl-Lorraine, France",48.725998,7.087852
Les Gentlemen's évents Traiteur,"15 Rue du Stade, 88560 Saint-Maurice-sur-Moselle, France",+33 7 66 68 36 97,4.4,"15 Rue du Stade, 88560 Saint-Maurice-sur-Moselle, France",47.85438894961834,6.812535785880788
Arpèges et Saveurs Gourmandes du Grand-Est,"Imp. de l'Estournel, 54170 Allain, France",+33 6 12 91 53 21,3.8,"Imp. de l'Estournel, 54170 Allain, France",48.551262397866076,5.8952092274704
Vernois Traiteur,"32 Rue nationale, 57420 Verny, France",+33 3 87 52 41 42,4.7,"32 Rue nationale, 57420 Verny, France",49.005746,6.20445
Traiteur Da Vinci - Al Bosco,"1 All. de la Cité des Chalets, 57600 Forbach, France",+33 6 17 75 04 42,4.9,"1 All. de la Cité des Chalets, 57600 Forbach, France",49.18592290536467,6.8689150711693445
"Croustillance, traiteur & créateur de saveurs","10 Rue de l'Estrey, 88440 Nomexy, France",+33 6 84 26 45 63,4.8,"10 Rue de l'Estrey, 88440 Nomexy, France",48.309336,6.3809314
