name,address_full,phone_number,rating,category,clean_address,latitude,longitude
factory 58,"12 Rue Gutenberg, 93000 Bobigny, France",+33 1 57 42 10 25,4.2,Event venue,"12 Rue Gutenberg, 93000 Bobigny, France",48.9041802,2.426868
Espace Venise,"Espace Venise, 30 Rte de Groslay, 95200 Sarcelles, France",+33 1 39 90 53 75,"4,4",Wedding venue," 30 Rte de Groslay, 95200 Sarcelles, France",48.98344206224728,2.3687700636521174
Glassy Events,"Glassy Events, Rue du Pont des Landes, 78310 Coignières, France",+33 6 47 00 03 19,"4,7",Function room facility," Rue du Pont des Landes, 78310 Coignières, France",48.7373765711654,1.9090951268328515
Salle de réception Le Vendome,"Salle de réception Le Vendome, 5 Rue des Chardonnerets, 93290 Tremblay-en-France, France",+33 6 22 56 26 65,"4,7",Event venue," 5 Rue des Chardonnerets, 93290 Tremblay-en-France, France",48.981652450155906,2.516558847235272
Farm Petite Loge,"Farm Petite Loge, La Petite Loge, 77580 La Haute-Maison, France",+33 7 69 80 79 49,"4,5",Event venue," La Petite Loge, 77580 La Haute-Maison, France",48.8760559,3.0161078
Espace Eden | Salle de Réception 77 | Salle de réception seine et marne,"Espace Eden | Salle de Réception 77 | Salle de réception seine et marne, 2 Rue de l'Industrie, 77270 Villeparisis, France",+33 6 59 42 60 31,"4,2",Function room facility," 2 Rue de l'Industrie, 77270 Villeparisis, France",48.95156682536019,2.6239232307788765
Chateau de Serans,"Chateau de Serans, 60 Grande Rue, 60240 Serans, France",+33 1 34 78 17 73,"4,7",Event venue," 60 Grande Rue, 60240 Serans, France",49.1868447,1.8289142
Domaine La Bastide,"Domaine La Bastide, 80 Rue Pierre Curie, 95540 Méry-sur-Oise, France",+33 1 39 32 70 99,"4,8",Function room facility," 80 Rue Pierre Curie, 95540 Méry-sur-Oise, France",49.06128889617995,2.1939376637804697
Espace Royal - Salles de Reception,"Espace Royal - Salles de Reception, Métro, Saint Mandé FR, 6 Rue de Valmy, 93100 Montreuil, France",+33 6 22 30 58 84,"4,2",Event venue," 6 Rue de Valmy, 93100 Montreuil, France",48.85106,2.420089
factory 58,"factory 58, 12 Rue Gutenberg, 93000 Bobigny, France",+33 1 57 42 10 25,"4,2",Event venue," 12 Rue Gutenberg, 93000 Bobigny, France",48.9041802,2.426868
Palais Groupe Salle de Mariage 91,"Palais Groupe Salle de Mariage 91, 2 Rue Jules Guesde, 91130 Ris-Orangis, France",+33 1 89 70 96 03,"4,4",Event venue," 2 Rue Jules Guesde, 91130 Ris-Orangis, France",48.6302329,2.4029806
Domaine de la Butte Ronde,"Domaine de la Butte Ronde, La Butte Ronde, 78125 La Boissière-École, France",+33 6 69 09 58 19,"4,7",Event venue," La Butte Ronde, 78125 La Boissière-École, France",48.6736561,1.6812599
La Ferme Du Parc,"La Ferme Du Parc, 1 Gr Grande Rue, 91410 Chatignonville, France",+33 6 33 77 15 58,"4,5",Wedding venue," 1 Gr Grande Rue, 91410 Chatignonville, France",48.46807316159788,1.931034888328289
Castle Vaugrigneuse,"Castle Vaugrigneuse, 11 Rue Héroard, 91640 Vaugrigneuse, France",+33 1 64 59 19 24,"4,8",Function room facility," 11 Rue Héroard, 91640 Vaugrigneuse, France",48.6041316057964,2.123201169189721
La Verrière 91,"La Verrière 91, 3 Rue Marie Marvingt, 91700 Fleury-Mérogis, France",+33 1 79 72 69 66,"4,1",Function room facility," 3 Rue Marie Marvingt, 91700 Fleury-Mérogis, France",48.62115346806474,2.3577423830964284
LE CLOS DE L'ORANGERIE,"LE CLOS DE L'ORANGERIE, Chemin de Malassis, 78710 Rosny-sur-Seine, France",+33 1 84 76 22 95,"4,2",Event venue," Chemin de Malassis, 78710 Rosny-sur-Seine, France",48.98187298544845,1.6511247353285587
Domaine du Chateau Verderonne,"Domaine du Chateau Verderonne, 7b Rue du Château, 60140 Verderonne, France",+33 6 59 92 30 55,"4,6",Wedding venue," 7b Rue du Château, 60140 Verderonne, France",49.3307862,2.4939511
Reception room THE TULIPS,"Reception room THE TULIPS, 8 Rue des Bâtisseurs, 91560 Crosne, France",+33 6 58 84 21 23,"4,4",Wedding venue," 8 Rue des Bâtisseurs, 91560 Crosne, France",48.72529949764536,2.465669511570981
Le Carré Marne,"Le Carré Marne, 27 Quai de Bonneuil, 94100 Saint-Maur-des-Fossés, France",+33 1 48 73 19 18,"4,5",Event venue," 27 Quai de Bonneuil, 94100 Saint-Maur-des-Fossés, France",48.7846077,2.4899255
RITZ PLAZZA,"RITZ PLAZZA, 43 Rue Saint-André, 93000 Bobigny, France",+33 7 60 88 75 30,"4,5",Function room facility," 43 Rue Saint-André, 93000 Bobigny, France",48.902592353759445,2.4236198515606633
